Symbol,Company,TradingView_Sector,TradingView_Industry,Sector_SPDR,ETF_Symbol,Sector_Number
COF,Capital One Financial Corporation,Finance,Finance/Rental/Leasing,Financial,XLF,5
HON,Honeywell International Inc.,Electronic Technology,Electronic Equipment/Instruments,Industrials,XLI,7
ETN,Eaton Corporation plc,Producer Manufacturing,Electrical Products,Industrials,XLI,7
MU,Micron Technology Inc.,Electronic Technology,Semiconductors,Technology,XLK,10
APH,Amphenol Corporation,Electronic Technology,Electronic Components,Technology,XLK,10
DE,Deere & Company,Producer Manufacturing,Trucks/Construction/Farm Machinery,Industrials,XLI,7
UNP,Union Pacific Corporation,Transportation,Railroads,Industrials,XLI,7
AMAT,Applied Materials Inc.,Electronic Technology,Electronic Production Equipment,Technology,XLK,10
KKR,KKR & Co. Inc.,Finance,Investment Managers,Financial,XLF,5
LRCX,Lam Research Corporation,Electronic Technology,Electronic Production Equipment,Technology,XLK,10
CMCSA,Comcast Corporation,Consumer Services,Cable/Satellite TV,Communication Services,XLC,2
ADP,Automatic Data Processing Inc.,Technology Services,Data Processing Services,Industrials,XLI,7
COP,ConocoPhillips,Energy Minerals,Oil & Gas Production,Energy,XLE,1
MDT,Medtronic plc,Health Technology,Medical Specialties,Health Care,XLV,6
PANW,Palo Alto Networks Inc.,Technology Services,Packaged Software,Technology,XLK,10
KLAC,KLA Corporation,Electronic Technology,Electronic Production Equipment,Technology,XLK,10
ADI,Analog Devices Inc.,Electronic Technology,Semiconductors,Technology,XLK,10
SNPS,Synopsys Inc.,Technology Services,Packaged Software,Technology,XLK,10
NKE,NIKE Inc.,Consumer Non-durables,Apparel/Footwear,Consumer Discretionary,XLY,3
MO,Altria Group Inc.,Consumer Non-durables,Tobacco,Consumer Staples,XLP,4
INTC,Intel Corporation,Electronic Technology,Semiconductors,Technology,XLK,10
CB,Chubb Limited,Finance,Property/Casualty Insurance,Financial,XLF,5
WELL,Welltower Inc.,Finance,Real Estate Investment Trusts,Real Estate,XLRE,9
CRWD,CrowdStrike Holdings Inc.,Technology Services,Packaged Software,Technology,XLK,10
DASH,DoorDash Inc.,Technology Services,Other Transportation,Consumer Discretionary,XLY,3
ICE,Intercontinental Exchange Inc.,Finance,Investment Banks/Brokers,Financial,XLF,5
SO,The Southern Company,Utilities,Electric Utilities,Utilities,XLU,11
SBUX,Starbucks Corporation,Consumer Services,Restaurants,Consumer Discretionary,XLY,3
LMT,Lockheed Martin Corporation,Electronic Technology,Aerospace & Defense,Industrials,XLI,7
MMC,Marsh & McLennan Companies Inc.,Finance,Insurance Brokers/Services,Financial,XLF,5
VRTX,Vertex Pharmaceuticals Incorporated,Health Technology,Biotechnology,Health Care,XLV,6
CEG,Constellation Energy Corporation,Utilities,Electric Utilities,Utilities,XLU,11
PLD,Prologis Inc.,Finance,Real Estate Investment Trusts,Real Estate,XLRE,9
CME,CME Group Inc.,Finance,Investment Banks/Brokers,Financial,XLF,5
BMY,Bristol-Myers Squibb Company,Health Technology,Pharmaceuticals: Major,Health Care,XLV,6
AMT,American Tower Corporation,Finance,Real Estate Investment Trusts,Real Estate,XLRE,9
CDNS,Cadence Design Systems Inc.,Technology Services,Packaged Software,Technology,XLK,10
DUK,Duke Energy Corporation,Utilities,Electric Utilities,Utilities,XLU,11
TT,Trane Technologies plc,Producer Manufacturing,Industrial Machinery,Industrials,XLI,7
DELL,Dell Technologies Inc.,Electronic Technology,Computer Processing Hardware,Technology,XLK,10
PH,Parker-Hannifin Corporation,Producer Manufacturing,Industrial Machinery,Industrials,XLI,7
MCO,Moody's Corporation,Commercial Services,Financial Publishing/Services,Financial,XLF,5
HCA,HCA Healthcare Inc.,Health Services,Hospital/Nursing Management,Health Care,XLV,6
WM,Waste Management Inc.,Industrial Services,Environmental Services,Industrials,XLI,7
SHW,The Sherwin-Williams Company,Process Industries,Chemicals: Specialty,Materials,XLB,8
CVS,CVS Health Corporation,Health Services,Medical/Nursing Services,Health Care,XLV,6
CTAS,Cintas Corporation,Commercial Services,Miscellaneous Commercial Services,Industrials,XLI,7
ORLY,O'Reilly Automotive Inc.,Retail Trade,Specialty Stores,Consumer Discretionary,XLY,3
RCL,Royal Caribbean Cruises Ltd.,Consumer Services,Hotels/Resorts/Cruise lines,Consumer Discretionary,XLY,3
GD,General Dynamics Corporation,Electronic Technology,Aerospace & Defense,Industrials,XLI,7
MCK,McKesson Corporation,Distribution Services,Medical Distributors,Health Care,XLV,6
NOC,Northrop Grumman Corporation,Electronic Technology,Aerospace & Defense,Industrials,XLI,7
COIN,Coinbase Global Inc.,Finance,Investment Banks/Brokers,Financial,XLF,5
MMM,3M Company,Producer Manufacturing,Industrial Specialties,Industrials,XLI,7
MDLZ,Mondelez International Inc.,Consumer Non-durables,Food: Specialty/Candy,Consumer Staples,XLP,4
CI,The Cigna Group,Health Services,Managed Health Care,Health Care,XLV,6
AON,Aon plc,Finance,Insurance Brokers/Services,Financial,XLF,5
ECL,Ecolab Inc.,Process Industries,Chemicals: Specialty,Materials,XLB,8
APO,Apollo Global Management Inc.,Finance,Investment Managers,Financial,XLF,5
TDG,TransDigm Group Incorporated,Electronic Technology,Aerospace & Defense,Industrials,XLI,7
EQIX,Equinix Inc.,Finance,Real Estate Investment Trusts,Real Estate,XLRE,9
ABNB,Airbnb Inc.,Consumer Services,Hotels/Resorts/Cruise lines,Consumer Discretionary,XLY,3
MSI,Motorola Solutions Inc.,Electronic Technology,Electronic Equipment/Instruments,Industrials,XLI,7
NEM,Newmont Corporation,Non-energy Minerals,Precious Metals,Materials,XLB,8
ITW,Illinois Tool Works Inc.,Producer Manufacturing,Industrial Machinery,Industrials,XLI,7
PNC,The PNC Financial Services Group Inc.,Finance,Regional Banks,Financial,XLF,5
AJG,Arthur J. Gallagher & Co.,Finance,Insurance Brokers/Services,Financial,XLF,5
UPS,United Parcel Service Inc.,Transportation,Air Freight/Couriers,Industrials,XLI,7
EMR,Emerson Electric Co.,Producer Manufacturing,Electrical Products,Industrials,XLI,7
FI,Fiserv Inc.,Technology Services,Data Processing Services,Financial,XLF,5
RSG,Republic Services Inc.,Industrial Services,Environmental Services,Industrials,XLI,7
MAR,Marriott International Inc.,Consumer Services,Hotels/Resorts/Cruise lines,Consumer Discretionary,XLY,3
USB,U.S. Bancorp,Finance,Regional Banks,Financial,XLF,5
BK,The Bank of New York Mellon Corporation,Finance,Major Banks,Financial,XLF,5
WMB,The Williams Companies Inc.,Industrial Services,Oil & Gas Pipelines,Energy,XLE,1
ELV,Elevance Health Inc.,Health Services,Managed Health Care,Health Care,XLV,6
HWM,Howmet Aerospace Inc.,Producer Manufacturing,Aerospace & Defense,Industrials,XLI,7
CL,Colgate-Palmolive Company,Consumer Non-durables,Household/Personal Care,Consumer Staples,XLP,4
ZTS,Zoetis Inc.,Health Technology,Pharmaceuticals: Major,Health Care,XLV,6
JCI,Johnson Controls International plc,Producer Manufacturing,Industrial Machinery,Industrials,XLI,7
CSX,CSX Corporation,Transportation,Railroads,Industrials,XLI,7
AZO,AutoZone Inc.,Retail Trade,Specialty Stores,Consumer Discretionary,XLY,3
VST,Vistra Corp.,Utilities,Electric Utilities,Utilities,XLU,11
PYPL,PayPal Holdings Inc.,Technology Services,Data Processing Services,Financial,XLF,5
EOG,EOG Resources Inc.,Energy Minerals,Oil & Gas Production,Energy,XLE,1
SPG,Simon Property Group Inc.,Finance,Real Estate Investment Trusts,Real Estate,XLRE,9
APD,Air Products and Chemicals Inc.,Process Industries,Chemicals: Specialty,Materials,XLB,8
HLT,Hilton Worldwide Holdings Inc.,Consumer Services,Hotels/Resorts/Cruise lines,Consumer Discretionary,XLY,3
MNST,Monster Beverage Corporation,Consumer Non-durables,Beverages: Non-Alcoholic,Consumer Staples,XLP,4
NSC,Norfolk Southern Corporation,Transportation,Railroads,Industrials,XLI,7
ADSK,Autodesk Inc.,Technology Services,Packaged Software,Technology,XLK,10
FCX,Freeport-McMoRan Inc.,Non-energy Minerals,Other Metals/Minerals,Materials,XLB,8
FTNT,Fortinet Inc.,Technology Services,Packaged Software,Technology,XLK,10
TEL,TE Connectivity plc,Electronic Technology,Electronic Components,Technology,XLK,10
WDAY,Workday Inc.,Technology Services,Packaged Software,Technology,XLK,10
TRV,The Travelers Companies Inc.,Finance,Property/Casualty Insurance,Financial,XLF,5
AEP,American Electric Power Company Inc.,Utilities,Electric Utilities,Utilities,XLU,11
REGN,Regeneron Pharmaceuticals Inc.,Health Technology,Biotechnology,Health Care,XLV,6
AXON,Axon Enterprise Inc.,Electronic Technology,Electronic Equipment/Instruments,Industrials,XLI,7
KMI,Kinder Morgan Inc.,Industrial Services,Oil & Gas Pipelines,Energy,XLE,1
URI,United Rentals Inc.,Commercial Services,Miscellaneous Commercial Services,Industrials,XLI,7
CMG,Chipotle Mexican Grill Inc.,Consumer Services,Restaurants,Consumer Discretionary,XLY,3
DLR,Digital Realty Trust Inc.,Finance,Real Estate Investment Trusts,Real Estate,XLRE,9
TFC,Truist Financial Corporation,Finance,Regional Banks,Financial,XLF,5
NXPI,NXP Semiconductors N.V.,Electronic Technology,Semiconductors,Technology,XLK,10
COR,Cencora Inc.,Distribution Services,Medical Distributors,Health Care,XLV,6
PWR,Quanta Services Inc.,Industrial Services,Engineering & Construction,Industrials,XLI,7
ROP,Roper Technologies Inc.,Electronic Technology,Electronic Equipment/Instruments,Industrials,XLI,7
AFL,Aflac Incorporated,Finance,Life/Health Insurance,Financial,XLF,5
BDX,Becton Dickinson and Company,Health Technology,Medical Specialties,Health Care,XLV,6
FAST,Fastenal Company,Distribution Services,Wholesale Distributors,Industrials,XLI,7
GLW,Corning Incorporated,Electronic Technology,Electronic Components,Technology,XLK,10
CARR,Carrier Global Corporation,Producer Manufacturing,Industrial Machinery,Industrials,XLI,7
CMI,Cummins Inc.,Producer Manufacturing,Trucks/Construction/Farm Machinery,Industrials,XLI,7
ALL,The Allstate Corporation,Finance,Property/Casualty Insurance,Financial,XLF,5
NDAQ,Nasdaq Inc.,Finance,Investment Banks/Brokers,Financial,XLF,5
FDX,FedEx Corporation,Transportation,Air Freight/Couriers,Industrials,XLI,7
GM,General Motors Company,Consumer Durables,Motor Vehicles,Consumer Discretionary,XLY,3
O,Realty Income Corporation,Finance,Real Estate Investment Trusts,Real Estate,XLRE,9
SRE,Sempra,Utilities,Gas Distributors,Utilities,XLU,11
IDXX,IDEXX Laboratories Inc.,Health Technology,Health Technology,Health Care,XLV,6
D,Dominion Energy Inc.,Utilities,Electric Utilities,Utilities,XLU,11
MET,MetLife Inc.,Finance,Life/Health Insurance,Financial,XLF,5
PCAR,PACCAR Inc,Producer Manufacturing,Trucks/Construction/Farm Machinery,Industrials,XLI,7
LHX,L3Harris Technologies Inc.,Electronic Technology,Aerospace & Defense,Industrials,XLI,7
PSX,Phillips 66,Energy Minerals,Oil Refining/Marketing,Energy,XLE,1
PSA,Public Storage,Finance,Real Estate Investment Trusts,Real Estate,XLRE,9
PAYX,Paychex Inc.,Technology Services,Data Processing Services,Industrials,XLI,7
DHI,D.R. Horton Inc.,Consumer Durables,Homebuilding,Consumer Discretionary,XLY,3
SLB,Schlumberger Limited,Industrial Services,Oilfield Services/Equipment,Energy,XLE,1
MPC,Marathon Petroleum Corporation,Energy Minerals,Oil Refining/Marketing,Energy,XLE,1
CTVA,Corteva Inc.,Process Industries,Chemicals: Agricultural,Materials,XLB,8
ROST,Ross Stores Inc.,Retail Trade,Apparel/Footwear Retail,Consumer Discretionary,XLY,3
AMP,Ameriprise Financial Inc.,Finance,Investment Managers,Financial,XLF,5
KDP,Keurig Dr Pepper Inc.,Consumer Non-durables,Beverages: Non-Alcoholic,Consumer Staples,XLP,4
CBRE,CBRE Group Inc.,Finance,Real Estate Development,Real Estate,XLRE,9
OKE,ONEOK Inc.,Industrial Services,Oil & Gas Pipelines,Energy,XLE,1
TGT,Target Corporation,Retail Trade,Department Stores,Consumer Staples,XLP,4
GWW,W.W. Grainger Inc.,Distribution Services,Wholesale Distributors,Industrials,XLI,7
XYZ,Block Inc.,Technology Services,Data Processing Services,Financial,XLF,5
KR,The Kroger Co.,Retail Trade,Food Retail,Consumer Staples,XLP,4
EBAY,eBay Inc.,Retail Trade,Internet Retail,Consumer Discretionary,XLY,3
EW,Edwards Lifesciences Corporation,Health Technology,Medical Specialties,Health Care,XLV,6
F,Ford Motor Company,Consumer Durables,Motor Vehicles,Consumer Discretionary,XLY,3
CPRT,Copart Inc.,Commercial Services,Miscellaneous Commercial Services,Industrials,XLI,7
EXC,Exelon Corporation,Utilities,Electric Utilities,Utilities,XLU,11
GRMN,Garmin Ltd.,Electronic Technology,Electronic Equipment/Instruments,Technology,XLK,10
CCI,Crown Castle Inc.,Finance,Real Estate Investment Trusts,Real Estate,XLRE,9
AIG,American International Group Inc.,Finance,Property/Casualty Insurance,Financial,XLF,5
DDOG,Datadog Inc.,Technology Services,Packaged Software,Technology,XLK,10
KMB,Kimberly-Clark Corporation,Consumer Non-durables,Household/Personal Care,Consumer Staples,XLP,4
OXY,Occidental Petroleum Corporation,Energy Minerals,Oil & Gas Production,Energy,XLE,1
EA,Electronic Arts Inc.,Technology Services,Packaged Software,Communication Services,XLC,2
MSCI,MSCI Inc.,Commercial Services,Financial Publishing/Services,Financial,XLF,5
TTWO,Take-Two Interactive Software Inc.,Technology Services,Packaged Software,Communication Services,XLC,2
BKR,Baker Hughes Company,Industrial Services,Oilfield Services/Equipment,Energy,XLE,1
PEG,Public Service Enterprise Group Incorporated,Utilities,Electric Utilities,Utilities,XLU,11
XEL,Xcel Energy Inc.,Utilities,Electric Utilities,Utilities,XLU,11
VLO,Valero Energy Corporation,Energy Minerals,Oil Refining/Marketing,Energy,XLE,1
AME,AMETEK Inc.,Electronic Technology,Electronic Equipment/Instruments,Industrials,XLI,7
RMD,ResMed Inc.,Health Technology,Medical Specialties,Health Care,XLV,6
YUM,Yum! Brands Inc.,Consumer Services,Restaurants,Consumer Discretionary,XLY,3
FANG,Diamondback Energy Inc.,Energy Minerals,Oil & Gas Production,Energy,XLE,1
CHTR,Charter Communications Inc.,Consumer Services,Cable/Satellite TV,Communication Services,XLC,2
KVUE,Kenvue Inc.,Consumer Non-durables,Household/Personal Care,Consumer Staples,XLP,4
ETR,Entergy Corporation,Utilities,Electric Utilities,Utilities,XLU,11
MPWR,Monolithic Power Systems Inc.,Electronic Technology,Electronic Production Equipment,Technology,XLK,10
CCL,Carnival Corporation & plc,Consumer Services,Hotels/Resorts/Cruise lines,Consumer Discretionary,XLY,3
DAL,Delta Air Lines Inc.,Transportation,Airlines,Industrials,XLI,7
ROK,Rockwell Automation Inc.,Electronic Technology,Electronic Equipment/Instruments,Industrials,XLI,7
VMC,Vulcan Materials Company,Non-energy Minerals,Construction Materials,Materials,XLB,8
SYY,Sysco Corporation,Distribution Services,Food Distributors,Consumer Staples,XLP,4
CSGP,CoStar Group Inc.,Commercial Services,Financial Publishing/Services,Real Estate,XLRE,9
PRU,Prudential Financial Inc.,Finance,Life/Health Insurance,Financial,XLF,5
TKO,TKO Group Holdings Inc.,Consumer Services,Movies/Entertainment,Communication Services,XLC,2
VRSK,Verisk Analytics Inc.,Commercial Services,Financial Publishing/Services,Financial,XLF,5
LYV,Live Nation Entertainment Inc.,Consumer Services,Other Consumer Services,Communication Services,XLC,2
FIS,Fidelity National Information Services Inc.,Technology Services,Data Processing Services,Financial,XLF,5
LVS,Las Vegas Sands Corp.,Consumer Services,Casinos/Gaming,Consumer Discretionary,XLY,3
HIG,The Hartford Insurance Group Inc.,Finance,Property/Casualty Insurance,Financial,XLF,5
MLM,Martin Marietta Materials Inc.,Non-energy Minerals,Construction Materials,Materials,XLB,8
ED,Consolidated Edison Inc.,Utilities,Electric Utilities,Utilities,XLU,11
HSY,The Hershey Company,Consumer Non-durables,Food: Specialty/Candy,Consumer Staples,XLP,4
CAH,Cardinal Health Inc.,Distribution Services,Medical Distributors,Health Care,XLV,6
MCHP,Microchip Technology Incorporated,Electronic Technology,Semiconductors,Technology,XLK,10
TRGP,Targa Resources Corp.,Industrial Services,Oil & Gas Pipelines,Energy,XLE,1
HUM,Humana Inc.,Health Services,Managed Health Care,Health Care,XLV,6
VICI,VICI Properties Inc.,Finance,Real Estate Investment Trusts,Real Estate,XLRE,9
LEN,Lennar Corporation,Consumer Durables,Homebuilding,Consumer Discretionary,XLY,3
WEC,WEC Energy Group Inc.,Utilities,Electric Utilities,Utilities,XLU,11
XYL,Xylem Inc.,Producer Manufacturing,Industrial Machinery,Industrials,XLI,7
OTIS,Otis Worldwide Corporation,Producer Manufacturing,Industrial Machinery,Industrials,XLI,7
CTSH,Cognizant Technology Solutions Corporation,Technology Services,Information Technology Services,Technology,XLK,10
ACGL,Arch Capital Group Ltd.,Finance,Specialty Insurance,Financial,XLF,5
A,Agilent Technologies Inc.,Electronic Technology,Electronic Equipment/Instruments,Health Care,XLV,6
GEHC,GE HealthCare Technologies Inc.,Health Technology,Medical Specialties,Health Care,XLV,6
NUE,Nucor Corporation,Non-energy Minerals,Steel,Materials,XLB,8
PCG,PG&E Corporation,Utilities,Electric Utilities,Utilities,XLU,11
EQT,EQT Corporation,Energy Minerals,Oil & Gas Production,Energy,XLE,1
EL,The Estee Lauder Companies Inc.,Consumer Non-durables,Household/Personal Care,Consumer Discretionary,XLY,3
STX,Seagate Technology Holdings plc,Electronic Technology,Computer Processing Hardware,Technology,XLK,10
UAL,United Airlines Holdings Inc.,Transportation,Airlines,Industrials,XLI,7
KHC,The Kraft Heinz Company,Consumer Non-durables,Food: Major Diversified,Consumer Staples,XLP,4
IQV,IQVIA Holdings Inc.,Health Services,Medical/Nursing Services,Health Care,XLV,6
RJF,Raymond James Financial Inc.,Finance,Investment Banks/Brokers,Financial,XLF,5
WAB,Westinghouse Air Brake Technologies Corporation,Producer Manufacturing,Industrial Machinery,Industrials,XLI,7
WTW,Willis Towers Watson Public Limited Company,Finance,Insurance Brokers/Services,Financial,XLF,5
FICO,Fair Isaac Corporation,Technology Services,Packaged Software,Financial,XLF,5
ODFL,Old Dominion Freight Line Inc.,Transportation,Trucking,Industrials,XLI,7
TSCO,Tractor Supply Company,Retail Trade,Specialty Stores,Consumer Discretionary,XLY,3
DXCM,DexCom Inc.,Health Technology,Medical Specialties,Health Care,XLV,6
BRO,Brown & Brown Inc.,Finance,Insurance Brokers/Services,Financial,XLF,5
STT,State Street Corporation,Finance,Major Banks,Financial,XLF,5
IR,Ingersoll Rand Inc.,Producer Manufacturing,Industrial Machinery,Industrials,XLI,7
VTR,Ventas Inc.,Finance,Real Estate Investment Trusts,Real Estate,XLRE,9
DD,DuPont de Nemours Inc.,Process Industries,Chemicals: Specialty,Materials,XLB,8
EFX,Equifax Inc.,Commercial Services,Financial Publishing/Services,Financial,XLF,5
BR,Broadridge Financial Solutions Inc.,Technology Services,Data Processing Services,Financial,XLF,5
EXR,Extra Space Storage Inc.,Finance,Real Estate Investment Trusts,Real Estate,XLRE,9
MTB,M&T Bank Corporation,Finance,Regional Banks,Financial,XLF,5
STZ,Constellation Brands Inc.,Consumer Non-durables,Beverages: Alcoholic,Consumer Staples,XLP,4
WBD,Warner Bros. Discovery Inc.,Consumer Services,Movies/Entertainment,Communication Services,XLC,2
AWK,American Water Works Company Inc.,Utilities,Water Utilities,Utilities,XLU,11
NRG,NRG Energy Inc.,Utilities,Electric Utilities,Utilities,XLU,11
DTE,DTE Energy Company,Utilities,Electric Utilities,Utilities,XLU,11
ADM,Archer-Daniels-Midland Company,Process Industries,Agricultural Commodities/Milling,Consumer Staples,XLP,4
FITB,Fifth Third Bancorp,Finance,Regional Banks,Financial,XLF,5
KEYS,Keysight Technologies Inc.,Electronic Technology,Electronic Equipment/Instruments,Technology,XLK,10
K,Kellanova,Consumer Non-durables,Food: Major Diversified,Consumer Staples,XLP,4
ROL,Rollins Inc.,Commercial Services,Miscellaneous Commercial Services,Industrials,XLI,7
HPE,Hewlett Packard Enterprise Company,Electronic Technology,Computer Processing Hardware,Technology,XLK,10
AEE,Ameren Corporation,Utilities,Electric Utilities,Utilities,XLU,11
MTD,Mettler-Toledo International Inc.,Electronic Technology,Electronic Equipment/Instruments,Health Care,XLV,6
AVB,AvalonBay Communities Inc.,Finance,Real Estate Investment Trusts,Real Estate,XLRE,9
PPL,PPL Corporation,Utilities,Electric Utilities,Utilities,XLU,11
IRM,Iron Mountain Incorporated,Finance,Real Estate Investment Trusts,Real Estate,XLRE,9
WRB,W. R. Berkley Corporation,Finance,Property/Casualty Insurance,Financial,XLF,5
SMCI,Super Micro Computer Inc.,Electronic Technology,Computer Processing Hardware,Technology,XLK,10
ATO,Atmos Energy Corporation,Utilities,Gas Distributors,Utilities,XLU,11
VLTO,Veralto Corporation,Health Technology,Medical Specialties,Health Care,XLV,6
SYF,Synchrony Financial,Finance,Finance/Rental/Leasing,Financial,XLF,5
GIS,General Mills Inc.,Consumer Non-durables,Food: Major Diversified,Consumer Staples,XLP,4
FOXA,Fox Corporation,Consumer Services,Broadcasting,Communication Services,XLC,2
WDC,Western Digital Corporation,Electronic Technology,Computer Processing Hardware,Technology,XLK,10
CBOE,Cboe Global Markets Inc.,Finance,Investment Banks/Brokers,Financial,XLF,5
EXPE,Expedia Group Inc.,Consumer Services,Hotels/Resorts/Cruise lines,Consumer Discretionary,XLY,3
PHM,PulteGroup Inc.,Consumer Durables,Homebuilding,Consumer Discretionary,XLY,3
TTD,The Trade Desk Inc.,Technology Services,Internet Software/Services,Communication Services,XLC,2
FOX,Fox Corporation,Consumer Services,Broadcasting,Communication Services,XLC,2
EQR,Equity Residential,Finance,Real Estate Investment Trusts,Real Estate,XLRE,9
VRSN,VeriSign Inc.,Technology Services,Internet Software/Services,Technology,XLK,10
TDY,Teledyne Technologies Incorporated,Electronic Technology,Electronic Equipment/Instruments,Technology,XLK,10
PPG,PPG Industries Inc.,Process Industries,Chemicals: Specialty,Materials,XLB,8
FE,FirstEnergy Corp.,Utilities,Electric Utilities,Utilities,XLU,11
HPQ,HP Inc.,Electronic Technology,Computer Processing Hardware,Technology,XLK,10
WSM,Williams-Sonoma Inc.,Retail Trade,Specialty Stores,Consumer Discretionary,XLY,3
TYL,Tyler Technologies Inc.,Technology Services,Packaged Software,Technology,XLK,10
CNP,CenterPoint Energy Inc.,Utilities,Electric Utilities,Utilities,XLU,11
DG,Dollar General Corporation,Retail Trade,Discount Stores,Consumer Staples,XLP,4
PTC,PTC Inc.,Technology Services,Packaged Software,Technology,XLK,10
IP,International Paper Company,Process Industries,Pulp & Paper,Materials,XLB,8
HBAN,Huntington Bancshares Incorporated,Finance,Regional Banks,Financial,XLF,5
DOV,Dover Corporation,Producer Manufacturing,Industrial Machinery,Industrials,XLI,7
ES,Eversource Energy,Utilities,Electric Utilities,Utilities,XLU,11
STE,STERIS plc,Health Technology,Medical Specialties,Health Care,XLV,6
DRI,Darden Restaurants Inc.,Consumer Services,Restaurants,Consumer Discretionary,XLY,3
NTRS,Northern Trust Corporation,Finance,Investment Managers,Financial,XLF,5
LULU,lululemon athletica inc.,Retail Trade,Apparel/Footwear Retail,Consumer Discretionary,XLY,3
CINF,Cincinnati Financial Corporation,Finance,Property/Casualty Insurance,Financial,XLF,5
SBAC,SBA Communications Corporation,Finance,Real Estate Investment Trusts,Real Estate,XLRE,9
NVR,NVR Inc.,Consumer Durables,Homebuilding,Consumer Discretionary,XLY,3
DLTR,Dollar Tree Inc.,Retail Trade,Discount Stores,Consumer Staples,XLP,4
TROW,T. Rowe Price Group Inc.,Finance,Investment Managers,Financial,XLF,5
ULTA,Ulta Beauty Inc.,Retail Trade,Specialty Stores,Consumer Discretionary,XLY,3
JBL,Jabil Inc.,Electronic Technology,Electronic Production Equipment,Technology,XLK,10
RF,Regions Financial Corporation,Finance,Regional Banks,Financial,XLF,5
HUBB,Hubbell Incorporated,Producer Manufacturing,Electrical Products,Industrials,XLI,7
EXE,Expand Energy Corporation,Energy Minerals,Oil & Gas Production,Energy,XLE,1
LDOS,Leidos Holdings Inc.,Technology Services,Information Technology Services,Industrials,XLI,7
CHD,Church & Dwight Co. Inc.,Consumer Non-durables,Household/Personal Care,Consumer Staples,XLP,4
PODD,Insulet Corporation,Health Technology,Medical Specialties,Health Care,XLV,6
CPAY,Corpay Inc.,Technology Services,Data Processing Services,Financial,XLF,5
LH,Labcorp Holdings Inc.,Health Services,Medical/Nursing Services,Health Care,XLV,6
SW,Smurfit Westrock Plc,Process Industries,Containers/Packaging,Materials,XLB,8
FSLR,First Solar Inc.,Electronic Technology,Electronic Production Equipment,Utilities,XLU,11
NTAP,NetApp Inc.,Electronic Technology,Computer Processing Hardware,Technology,XLK,10
CMS,CMS Energy Corporation,Utilities,Electric Utilities,Utilities,XLU,11
DVN,Devon Energy Corporation,Energy Minerals,Oil & Gas Production,Energy,XLE,1
EIX,Edison International,Utilities,Electric Utilities,Utilities,XLU,11
CDW,CDW Corporation,Technology Services,Information Technology Services,Technology,XLK,10
GPN,Global Payments Inc.,Technology Services,Data Processing Services,Financial,XLF,5
CFG,Citizens Financial Group Inc.,Finance,Regional Banks,Financial,XLF,5
LII,Lennox International Inc.,Producer Manufacturing,Industrial Machinery,Industrials,XLI,7
ON,ON Semiconductor Corporation,Electronic Technology,Semiconductors,Technology,XLK,10
TPR,Tapestry Inc.,Consumer Non-durables,Apparel/Footwear,Consumer Discretionary,XLY,3
TPL,Texas Pacific Land Corporation,Energy Minerals,Oil & Gas Production,Energy,XLE,1
GDDY,GoDaddy Inc.,Technology Services,Internet Software/Services,Technology,XLK,10
ZBH,Zimmer Biomet Holdings Inc.,Health Technology,Medical Specialties,Health Care,XLV,6
BIIB,Biogen Inc.,Health Technology,Biotechnology,Health Care,XLV,6
TSN,Tyson Foods Inc.,Consumer Non-durables,Food: Meat/Fish/Dairy,Consumer Staples,XLP,4
AMCR,Amcor plc,Process Industries,Containers/Packaging,Materials,XLB,8
DGX,Quest Diagnostics Incorporated,Health Services,Medical/Nursing Services,Health Care,XLV,6
KEY,KeyCorp,Finance,Regional Banks,Financial,XLF,5
L,Loews Corporation,Finance,Financial Conglomerates,Financial,XLF,5
NI,NiSource Inc.,Utilities,Electric Utilities,Utilities,XLU,11
TRMB,Trimble Inc.,Electronic Technology,Electronic Equipment/Instruments,Technology,XLK,10
GEN,Gen Digital Inc.,Technology Services,Packaged Software,Technology,XLK,10
ERIE,Erie Indemnity Company,Finance,Property/Casualty Insurance,Financial,XLF,5
GPC,Genuine Parts Company,Distribution Services,Wholesale Distributors,Consumer Discretionary,XLY,3
STLD,Steel Dynamics Inc.,Non-energy Minerals,Steel,Materials,XLB,8
MKC,McCormick & Company Incorporated,Consumer Non-durables,Food: Specialty/Candy,Consumer Staples,XLP,4
WY,Weyerhaeuser Company,Finance,Real Estate Investment Trusts,Real Estate,XLRE,9
INVH,Invitation Homes Inc.,Finance,Real Estate Investment Trusts,Real Estate,XLRE,9
CTRA,Coterra Energy Inc.,Energy Minerals,Oil & Gas Production,Energy,XLE,1
IT,Gartner Inc.,Technology Services,Information Technology Services,Technology,XLK,10
HAL,Halliburton Company,Industrial Services,Oilfield Services/Equipment,Energy,XLE,1
FFIV,F5 Inc.,Technology Services,Packaged Software,Technology,XLK,10
WST,West Pharmaceutical Services Inc.,Health Technology,Medical Specialties,Health Care,XLV,6
NWS,News Corporation,Consumer Services,Broadcasting,Communication Services,XLC,2
J,Jacobs Solutions Inc.,Industrial Services,Engineering & Construction,Industrials,XLI,7
RL,Ralph Lauren Corporation,Consumer Non-durables,Apparel/Footwear,Consumer Discretionary,XLY,3
TER,Teradyne Inc.,Electronic Technology,Electronic Production Equipment,Technology,XLK,10
WAT,Waters Corporation,Health Technology,Medical Specialties,Health Care,XLV,6
