Symbol,Company,TradingView_Sector,TradingView_Industry,Sector_SPDR,ETF_Symbol,Sector_Number
SNAP,Snap Inc.,Technology Services,Internet Software/Services,Communication Services,XLC,2
SQ,Block Inc.,Technology Services,Data Processing Services,Financial,XLF,5
UPST,Upstart Holdings Inc.,Finance,Finance/Rental/Leasing,Financial,XLF,5
AFRM,Affirm Holdings Inc.,Finance,Finance/Rental/Leasing,Financial,XLF,5
SOFI,SoFi Technologies Inc.,Finance,Finance/Rental/Leasing,Financial,XLF,5
HOOD,Robinhood Markets Inc.,Finance,Investment Banks/Brokers,Financial,XLF,5
RBLX,Roblox Corporation,Consumer Services,Movies/Entertainment,Communication Services,XLC,2
U,Unity Software Inc.,Technology Services,Packaged Software,Technology,XLK,10
PLBY,PLBY Group Inc.,Consumer Services,Other Consumer Services,Communication Services,XLC,2
BYND,Beyond Meat Inc.,Consumer Non-durables,Food: Specialty/Candy,Consumer Staples,XLP,4
OATLY,Oatly Group AB,Consumer Non-durables,Beverages: Non-Alcoholic,Consumer Staples,XLP,4
RIVN,Rivian Automotive Inc.,Consumer Durables,Motor Vehicles,Consumer Discretionary,XLY,3
LCID,Lucid Group Inc.,Consumer Durables,Motor Vehicles,Consumer Discretionary,XLY,3
NIO,NIO Inc.,Consumer Durables,Motor Vehicles,Consumer Discretionary,XLY,3
XPEV,XPeng Inc.,Consumer Durables,Motor Vehicles,Consumer Discretionary,XLY,3
LI,Li Auto Inc.,Consumer Durables,Motor Vehicles,Consumer Discretionary,XLY,3
BABA,Alibaba Group Holding Limited,Retail Trade,Internet Retail,Consumer Discretionary,XLY,3
JD,JD.com Inc.,Retail Trade,Internet Retail,Consumer Discretionary,XLY,3
PDD,PDD Holdings Inc.,Retail Trade,Internet Retail,Consumer Discretionary,XLY,3
BIDU,Baidu Inc.,Technology Services,Internet Software/Services,Communication Services,XLC,2
NTES,NetEase Inc.,Technology Services,Packaged Software,Communication Services,XLC,2
TCEHY,Tencent Holdings Limited,Technology Services,Internet Software/Services,Communication Services,XLC,2
TSM,Taiwan Semiconductor Manufacturing Company Limited,Electronic Technology,Semiconductors,Technology,XLK,10
ASML,ASML Holding N.V.,Electronic Technology,Electronic Production Equipment,Technology,XLK,10
SAP,SAP SE,Technology Services,Packaged Software,Technology,XLK,10
NVO,Novo Nordisk A/S,Health Technology,Pharmaceuticals: Major,Health Care,XLV,6
ROCHE,Roche Holding AG,Health Technology,Pharmaceuticals: Major,Health Care,XLV,6
NESN,Nestle S.A.,Consumer Non-durables,Food: Major Diversified,Consumer Staples,XLP,4
UL,Unilever PLC,Consumer Non-durables,Household/Personal Care,Consumer Staples,XLP,4
TM,Toyota Motor Corporation,Consumer Durables,Motor Vehicles,Consumer Discretionary,XLY,3
SNY,Sanofi,Health Technology,Pharmaceuticals: Major,Health Care,XLV,6
AZN,AstraZeneca PLC,Health Technology,Pharmaceuticals: Major,Health Care,XLV,6
GSK,GSK plc,Health Technology,Pharmaceuticals: Major,Health Care,XLV,6
BP,BP p.l.c.,Energy Minerals,Integrated Oil,Energy,XLE,1
SHEL,Shell plc,Energy Minerals,Integrated Oil,Energy,XLE,1
TTE,TotalEnergies SE,Energy Minerals,Integrated Oil,Energy,XLE,1
ENB,Enbridge Inc.,Industrial Services,Oil & Gas Pipelines,Energy,XLE,1
CNQ,Canadian Natural Resources Limited,Energy Minerals,Oil & Gas Production,Energy,XLE,1
SU,Suncor Energy Inc.,Energy Minerals,Oil & Gas Production,Energy,XLE,1
RY,Royal Bank of Canada,Finance,Major Banks,Financial,XLF,5
TD,The Toronto-Dominion Bank,Finance,Major Banks,Financial,XLF,5
BNS,The Bank of Nova Scotia,Finance,Major Banks,Financial,XLF,5
BMO,Bank of Montreal,Finance,Major Banks,Financial,XLF,5
CM,Canadian Imperial Bank of Commerce,Finance,Major Banks,Financial,XLF,5
MFC,Manulife Financial Corporation,Finance,Life/Health Insurance,Financial,XLF,5
SLF,Sun Life Financial Inc.,Finance,Life/Health Insurance,Financial,XLF,5
CNI,Canadian National Railway Company,Transportation,Railroads,Industrials,XLI,7
CP,Canadian Pacific Kansas City Limited,Transportation,Railroads,Industrials,XLI,7
WCN,Waste Connections Inc.,Industrial Services,Environmental Services,Industrials,XLI,7
